Date,Score
2013-05-16,-0.018314676
2013-05-17,-0.534400225
2013-05-20,0.627519608
2013-05-21,0.41982162
2013-05-22,-0.962660909
2013-05-23,0.01851929
2013-05-24,0.128014848
2013-05-28,0.715758026
2013-05-29,-0.514926434
2013-05-30,0.697499812
2013-05-31,0.102783009
2013-06-03,0.654334307
2013-06-04,-0.530163288
2013-06-05,0.502679408
2013-06-06,0.713380098
2013-06-07,-0.923760355
2013-06-10,0.242564887
2013-06-11,0.084909625
2013-06-12,#N/A
2013-06-13,0.786100864
2013-06-14,0.067857258
2013-06-17,0.48346436
2013-06-18,0.090109199
2013-06-19,0.508304894
2013-06-20,#N/A
2013-06-21,0.435336053
2013-06-24,0.86478585
2013-06-25,0.519727588
2013-06-26,#N/A
2013-06-27,0.052512795
2013-06-28,#N/A
2013-07-01,0.013739491
2013-07-02,0.049778096
2013-07-03,#N/A
2013-07-05,-0.083875969
2013-07-08,-0.967824638
2013-07-09,-0.874019027
2013-07-10,-0.00863559
2013-07-11,0.714670062
2013-07-12,0.93675983
2013-07-15,0.113056295
2013-07-16,0.192610011
2013-07-17,0.115699895
2013-07-18,0.046517666
2013-07-19,0.41264385
2013-07-22,0.074162319
2013-07-23,-0.967429042
2013-07-24,0.523355126
2013-07-25,-0.970474243
2013-07-26,0.933042824
2013-07-29,-0.842206895
2013-07-30,-0.041412611
2013-07-31,0.326135874
2013-08-01,-0.073878348
2013-08-02,-0.256514877
2013-08-05,-0.960459292
2013-08-06,#N/A
2013-08-07,0.847444296
2013-08-08,0.034855008
2013-08-09,-0.674491644
2013-08-12,0.106756769
2013-08-13,0.186588198
2013-08-14,0.037974976
2013-08-15,-0.682779253
2013-08-16,0.152122915
2013-08-19,-0.012636006
2013-08-20,0.050508317
2013-08-21,0.278114498
2013-08-22,0.046506219
2013-08-23,-0.746443808
2013-08-26,7.64e-05
2013-08-27,#N/A
2013-08-28,0.157639042
2013-08-29,-0.01267257
2013-08-30,-0.835830748
2013-09-03,0.126007557
2013-09-04,-0.146748871
2013-09-05,-0.004982732
2013-09-06,0.172425836
2013-09-09,0.040581845
2013-09-10,-0.946269214
2013-09-11,0.06325525
2013-09-12,0.805583417
2013-09-13,-0.951452374
2013-09-16,-0.747887135
2013-09-17,-0.949663579
2013-09-18,0.005822213
2013-09-19,-0.92545414
2013-09-20,0.00598192
2013-09-23,-0.755083025
2013-09-24,0.007223859
2013-09-25,0.091166332
2013-09-26,-0.45759356
2013-09-27,#N/A
2013-09-30,0.089097872
2013-10-01,-0.230140746
2013-10-02,-0.862249374
2013-10-03,0.35399428
2013-10-04,-0.007988503
2013-10-07,-0.053098679
2013-10-08,0.026479976
2013-10-09,-0.972923696
2013-10-10,-0.956523478
2013-10-11,-0.260124505
2013-10-14,-0.053448699
2013-10-15,0.129562691
2013-10-16,-0.947149515
2013-10-17,0.300333023
2013-10-18,-0.385207832
2013-10-21,0.831643403
2013-10-22,0.018915532
2013-10-23,0.073717587
2013-10-24,0.043217249
2013-10-25,#N/A
2013-10-28,-0.889542341
2013-10-29,-0.948111713
2013-10-30,-0.964102685
2013-10-31,0.732575476
2013-11-01,0.832018435
2013-11-04,0.473690629
2013-11-05,-0.049441226
2013-11-06,#N/A
2013-11-07,-0.024103593
2013-11-08,#N/A
2013-11-11,0.014912572
2013-11-12,0.165677235
2013-11-13,-0.011150403
2013-11-14,0.129426152
2013-11-15,0.300020993
2013-11-18,0.095023736
2013-11-19,#N/A
2013-11-20,#N/A
2013-11-21,0.426486224
2013-11-22,#N/A
2013-11-25,0.042397469
2013-11-26,0.585881829
2013-11-27,-0.115211666
